canddt_name_2014,caddi_sex_2014,cnddt_age_2014,canddt_category_2014
KANGALA BALUDORA,M,58,ST
CHETTI SANKARARAO,M,32,ST
BIDDIKA RAMAIAH,M,52,ST
VANUGU SANKARARAO,M,39,ST
SALLANGI RATNAM,F,35,ST
KILLI KRUPARANI,F,52,GEN
BODDEPALLI RAJARAO,M,47,GEN
RAMMOHAN NAIDU KINJARAPU,M,27,GEN
KADIYAM JAYALAKSHMI,F,32,GEN
JAIDEV INJARAPU,M,41,GEN
PAIDI RAJA RAO,M,40,GEN
REDDY SHANTHI,F,45,GEN
VASUDEVA RAO BODDU,M,41,GEN
KINJARAPU TEJESWARA RAO,M,31,GEN
TOTA TEJESWARA RAO,M,36,GEN
ASHOK GAJAPATHI RAJU PUSAPATI,M,62,GEN
JHANSI LAKSHMI BOTCHA,F,50,GEN
BONU KRISHNA,M,50,SC
TADIVAKA RAMESH NAIDU,M,44,GEN
NARU SIMHADRI NAIDU,M,58,GEN
PRASADA RAO NANDA,M,42,GEN
VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,M,33,GEN
YELLA RAO SIYYADULA,M,33,SC
HARIKISHAN KUPPILI,M,37,GEN
IMANDI VENKATA KURMARAO,M,43,GEN
KAMBHAMPATI HARI BABU,M,60,GEN
BOLISETTI SATYANARAYANA (SATYA),M,57,GEN
KUNA RAMAM,M,51,GEN
DADI JYOTHI BHAVANI,F,43,GEN
DR|| BHAVANI SANKAR SASTRY.A,M,49,GEN
JT RAMARAO,M,42,GEN
Y.S VIJAYAMMA,F,58,GEN
SABBAM HARI,M,60,GEN
UMAMAHESWARARAO ARETI,M,33,SC
KUTIKUPPALA SURYA RAO,M,60,GEN
KURADA SATYANARAYANA PATNAIK,M,50,GEN
GEDELA KRISHNARAO,M,60,ST
CHANDRASEKHAR BUDDA,M,35,GEN
CHALAPATHIRAO RONANKI,M,60,GEN
TANUKU DIVAKAR,M,46,GEN
DURGAPRASAD GUNTU,M,45,GEN
NAGENDRA SAIRAM,M,27,GEN
J. PADMAJA,F,34,GEN
BRAHMA SWAROOP KASIBHATTA,M,46,GEN
SREENADH REDDY,M,39,GEN
SEEMAKURTHI SRINUVASU (BHAGHAVAN SRINU),M,41,GEN
KARANAM TIRUPATHI RAO,M,45,GEN
MUTTAMSETTI SRINIVASA RAO (AVANTHI),M,47,GEN
VIJAYA LAKSHMI THOTA,F,44,GEN
KONDARAJU JAMPANA,M,47,GEN
GUDIVADA AMARNADH,M,30,GEN
VADLAMURI KRISHNA SWAROOP,M,41,SC
SARISA LEELA PRASANNA KUMARI,F,43,GEN
APPALARAJU SADARAM,M,60,GEN
THOTA NARASIMHAM,M,53,GEN
MALLIPUDI MANGAPATI PALLAM RAJU,M,51,GEN
MUTHABATHULA RATNA KUMAR,M,37,SC
ARJUNARAO YEGUPATI,M,57,SC
KOLA VENKATA PRASAD VARMA,M,48,GEN
CHALAMALASETTY SUNIL,M,44,GEN
TEKUMUDI VENKATA RAO,M,55,GEN
TUMMALAPALLI SATYA RAMAKRISHNA,M,38,GEN
MOTHA SARADA,F,33,SC
ROKKAM DAYAKAR,M,45,SC
SRINIVAS DANGETI,M,44,GEN
KARRA VENKATA APPALA NARASIMHA RAO,M,45,GEN
KUNCHE RAMADAS,M,69,SC
GUTTULA ANNAPURNA SESHAGIRI RAO (BATHPARTY-SESHU),M,53,GEN
CHAGANTI SURYANARAYANA MURTY,M,49,GEN
JALLURI VENKATESWARLU (J.V),M,47,SC
