canddt_name_2014,caddi_sex_2014,cnddt_age_2014,canddt_category_2014
POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,F,33,GEN
AZIMUDDIN KHAN,M,42,GEN
ABU FARHAN AZMI,M,33,GEN
ASHOK KISAN LOKHANDE,M,41,SC
UMESH SONBA AVHAD,M,34,SC
NIYAZ AHMED ALLAUDDIN SHAIKH,M,57,GEN
PHIROZE PALKHIVALA,M,47,GEN
BIRJE HEMANT ANANT,M,53,GEN
MEHER A. MALLICK,F,41,GEN
MOHAMMED RAFIK HUSSAIN SHAIKH,M,55,GEN
UPESH M. BARIA,M,32,GEN
GUPTA KANHAIYALAL RAJARAM,M,45,GEN
CHAWAN SURYAKANT GANGARAM,M,48,GEN
DINESH PHULSING RATHOD,M,39,GEN
FRANCIS LAWRENCE FERNANDES,M,52,GEN
MINAKSHI MUKUND JADHAV,F,49,GEN
SHITAL KUMAR JAIN,M,41,GEN
SURESH GIGA DABHI,M,45,GEN
SANJU VERMA,F,43,GEN
ADV.AIYYAR GANESH,M,49,GEN
ADITYA RAJAN SHIRODKAR,M,29,GEN
EKNATH M. GAIKWAD,M,74,GEN
RAHUL RAMESH SHEWALE,M,41,GEN
ABBAS HUSSAIN SHAIKH,M,32,GEN
ASLAM HANIF KHOT,M,49,GEN
SANGHAPAL HIRACHAND GADEKAR,M,35,SC
SUNDAR BALAKRISHNAN,M,53,GEN
HUSSAIN AKBAR SAYYED,M,43,GEN
CLIFFORD MARTIS,M,61,GEN
KHAN SIRAJ AHMED,M,42,GEN
GANESH BHIMRAO BUDHE,M,35,GEN
DILIP GAIKWAD,M,40,GEN
MR. NADAR SELVAKUMAR PERIMBRAJ,M,35,GEN
NAMDEV SAHEBRAO SABLE,M,49,GEN
NOOR MOHAMMAD SAHEB RAJA KHAN,M,59,GEN
PAL JITENDRA KUMAR,M,42,GEN
MAHENDRA TULSHIRAM BHINGARDIVE,M,37,SC
MOIN SOHAIL SAYYED,M,25,GEN
ADV.VAISHALI SURENDRA BORDE,F,30,SC
SHINDE SARJERAO MAHADEV,M,58,SC
ABDUS SALAM KHAN  QASMI,M,56,GEN
ARVIND SAWANT,M,62,GEN
DEORA MILIND MURLI,M,38,GEN
PRAKASH REDDY,M,63,GEN
BALA NANDGAONKAR,M,56,GEN
BAIG MIRZA KALIM,M,41,GEN
MEERA SANYAL,F,52,GEN
SHAHZAD SHAMSHER KHAN PATHAN,M,32,GEN
SHEHBAJ RATHOD,M,43,GEN
SACHIN PAWAR,M,37,GEN
ABDUL LATIF ABDUL KADAR SHAIKH,M,50,GEN
DR. OMRAJ L. RATHOD,M,37,GEN
KATARIA JITENDRA KAMABHAI,M,49,SC
GAURAV SHARMA,M,31,GEN
JAHEDA MOHAMMED HANIF SHAIKH,F,41,GEN
FARNANDES SANTAN,M,31,GEN
BASIT FAITH,M,43,GEN
RATAN DEVRAM BODKE,M,61,GEN
RAJENDRA DAULAT DESAI,M,53,GEN
SHANKAR  SONAWANE,M,46,GEN
ANANT GEETE,M,63,GEN
TATKARE SUNIL DATTATREY,M,59,GEN
YASHWANT JAYRAM GAIKWAD,M,64,GEN
DR. APARANTI SANJAY YASHWANT,M,55,GEN
AZIZ ABDUL KADIR MUKADAM,M,50,GEN
DR. GHONE ADESH YASHAWANT,M,46,GEN
RAMESHBHAI KADAM,M,64,GEN
SANDEEP PANDURANG PARTE,M,45,GEN
MUZZAFAR JAINUDDIN CHAUDHARI  ALIAS MODI,M,35,GEN
SUNIL TATKARE,M,32,GEN
BHIMAPUTRA TEXAS GAIKWAD,M,66,GEN
NARWEKAR RAHUL SURESH,M,37,GEN
APPA ALIAS SHRIRANG CHANDU BARNE,M,50,GEN
GHARAT SANTOSH ROHIDAS,M,38,GEN
JAGTAP LAXMANBHAU PANDURANG,M,51,GEN
BARNE SHRIRANG CHIMAJI,M,55,GEN
BHAPKAR MARUTI SAHEBRAO,M,43,GEN
SIMA DHARMANNA MANIKADI,F,26,SC
ABHIJIT ANIL APTE,M,38,GEN
JAGTAP LAXMAN MURLIDHAR,M,34,GEN
JAGTAP LAXMAN SITARAM,M,55,GEN
NANAWARE PRAMOD MAHADEO,M,33,GEN
NURJAHAN YASIN SHAIKH,F,40,GEN
H.B.P.ADV.R.K.PATIL,M,45,GEN
BHIMRAO ANNA KADALE,M,35,SC
SIR MANUEL SABINO D''''SOUZA,M,50,GEN
RAJENDRA MARUTI KATE,M,48,GEN
SUBHASH GOPALRAO BODHE,M,67,GEN
ANIL SHIROLE,M,63,GEN
IMTIYAZ PEERZADE,M,46,GEN
DEEPAK NATHARAM PAIGUDE,M,48,GEN
DR.VISHWAJEET PATANGRAO KADAM,M,33,GEN
ARUN BHATIA,M,63,GEN
NANA KSHIRSAGAR,M,57,GEN
WARE SUBHASH SHANKARRAO,M,50,GEN
SAIYYAD AFSER  IBRAHIM,M,57,GEN
COL SURESH PATIL (RTD),M,66,GEN
SANJAY LAXMAN PADWAL,M,46,GEN
AZAM VAKIL MANIYAR,M,35,GEN
AJAY VASANT PAITHANKAR,M,54,GEN
ASHAPAK SHAIKH,M,47,GEN
UMESH BHUJANG MASANKHAMB,M,31,SC
KHIRID SIMKUMAR BHAGWAN,M,40,GEN
COLONEL JAYANTRAO CHITALE,M,68,GEN
DAMBALE RAHUL DHARMA,M,31,SC
DINESH PANDURANG PAWAR,M,40,GEN
DEVKULE BIBHISHAN JAGANNATH,M,38,GEN
NILESH DHANAVE,M,34,GEN
BANSODE CHAYYA TUKARAM,F,43,SC
MANCHAK TRIMBAKRAO KARALE,M,44,GEN
YADAV GANGADHAR NATHU,M,39,SC
RUPALI TAMBOLI,F,33,GEN
VIJAY LAXMAN SARODE,M,38,SC
SHASHIKANT BHIKAJI OWHAL,M,40,SC
SHIVAJI  PANDURANG ADHAV,M,40,GEN
SUSHAMA PANDURANG GAIKWAD,F,48,GEN
SANTOSH PAWAR,M,42,SC
CHAUDHARI KALURAM VINAYAK,M,33,SC
SUPRIYA SULE,F,44,GEN
TATYASAHEB SITARAM TELE,M,58,GEN
MAHADEV JAGANNATH JANKAR,M,44,GEN
RAVINDRA TAKALE,M,42,GEN
SURESH KHOPADE,M,62,GEN
KOKARE SHIVAJI JAYSING,M,62,GEN
MAHADIK PRALHAD DAGADU,M,46,GEN
SURESHDADA BABURAO VEER,M,67,GEN
ADHALRAO SHIVAJI DATTATREY,M,59,GEN
ASHOK SHIRPATI KHANDEBHARAD,M,50,GEN
NIKAM DEVDATTA JAYWANT,M,43,GEN
WAGHMARE SARJERAO BHIKA,M,38,GEN
GEETARAM RAMCHANDRA KADAM,M,42,GEN
NIKAM SOPANRAO PANDHARINATH,M,66,GEN
BAJARE SITARAM NAMDEO (BABA),M,63,GEN
VIKAS SUDAM KUSEKAR,M,26,GEN
UMESH ARJUN KANCHAN,M,33,GEN
KATORE MAHADEV NIWRITTI,M,43,GEN
DAMBALE RAM  DHARMA,M,45,SC
NILESH YASHWANT MHASKULE,M,29,GEN
MILINDRAJE DIGAMBAR BHOSALE,M,29,SC
SONALI CHANDRASHEKHAR THORAT,F,29,SC
KAKADE KISAN YASHWANT,M,40,GEN
GANDHI DILIPKUMAR MANSUKHLAL,M,64,GEN
RAJEEV APPASAHEB RAJALE,M,44,GEN
H.B.P. AJAY SAHEBRAO BARASKAR MAHARAJ,M,35,GEN
DAMALE SHIVAJIRAO WAMAN,M,58,GEN
DEEPALI SAYYED,F,36,GEN
POPAT MANIK FULE,M,34,SC
ANIL JAYSING GHANVAT,M,55,GEN
KOLSEPATIL BABAN GANGADHAR,M,73,GEN
DESHMUKH VIKAS NANASAHEB,M,38,GEN
PETRAS KISAN GAWARE,M,61,SC
LAXMAN BHANUDAS SONALE,M,46,GEN
SHRIDHAR JAKHUJI DAREKAR,M,58,GEN
BHAUSAHEB RAJARAM WAKCHAURE,M,64,SC
ADV. MAHENDRA DADASAHEB SHINDE,M,34,SC
LOKHANDE SADASHIV KISAN,M,52,SC
NITIN NAVNATH UDMALE,M,35,SC
PAWAR VIJAY BANDERAO,M,39,SC
RAGHUNATH RAMJI MAKASARE,M,70,SC
SARODE POPAT RAMBHAU,M,39,SC
SANTOSH MADHUKAR ROHAM,M,41,SC
UDDHAVRAO BALWANT GAIKWAD,M,55,SC
GHOLAP SANDEEP BHASKAR,M,35,SC
BALASAHEB DASHRATH BAGUL,M,42,SC
WAGH GANGADHAR RADHAJI,M,65,SC
SHENDE RAVINDRA VITTHAL,M,32,SC
SAYAJI SHANKAR KHARAT,M,56,SC
DHAS SURESH RAMCHANDRA,M,44,GEN
MUNDE GOPINATHRAO PANDURANG,M,66,GEN
RATHOD DIGAMBAR RAMRAO,M,58,GEN
KALE KRISHNA BHANUDAS,M,33,GEN
DONGARE MILIND KASHINATH,M,53,SC
TATE ASHOK SANTRAM,M,55,SC
THORAT DHANRAJ VITTHAL,M,49,SC
NANDU MADHAV,M,56,GEN
MANIKRAO MADHAVRAO BAVNE,M,60,GEN
RAHUL PRABHAKAR KAMBLE,M,28,GEN
SHINGARE GOVIND BHARAT,M,32,GEN
SHAIKH IPTEKHAR ZAKEEBABA,M,44,GEN
SAKSAMUDRE BHAGWAN KACHRUBA,M,39,SC
ARJUN HANMANTA NIMBALKAR,M,44,GEN
AVINASH NAMDEV WANKHEDE,M,40,GEN
ASHOK DHONDIBA SONWANE,M,53,SC
ASHOK BHAGOJI THORAT,M,32,SC
AGHAV JAYPRAKASH SITARAM,M,33,GEN
INAMDAR JABBERMIYA DAGERASA,M,48,GEN
DR. OWHAL JITENDRA MAHADEV,M,30,SC
KALE BAJIRAO SHANKAR,M,37,GEN
GANGADHAR SITARAM KALKUTE,M,34,GEN
JETHLIA SANTOSHBAPU  MITTHULAL,M,46,GEN
TEJAS ANKUSH GHUMARE,M,33,GEN
PRASHANT VISHNU SASANE,M,28,SC
BHAGWAT HARIHAR TAWARE,M,27,GEN
VEER SHESHERAO CHOKHOBA,M,48,SC
SHAIKH CHAND SHIAKH MIYA,M,46,GEN
SHAIKH SHAFIQ SHABBIR,M,51,GEN
SHRIKANT VISHNU GADALE,M,26,GEN
SADULLA ASDULLA INAMDAR,M,38,GEN
SAYYED NAVIDUJJAMMA,M,43,GEN
SAYYED MINHAJ ALI SAYYAD WAJED ALI (PENDKHAJURWALE),M,39,GEN
SAYYED MUBIN RAHIMTULLA,M,40,GEN
SAYYED SALIM FATTU,M,51,GEN
SUMITRABAI DASHRATH PAWAR,F,40,SC
SOLANKE PARMESHWAR KALYANRAO,M,33,GEN
SOLANKE PRAKASH BHAGWANRAO,M,50,GEN
HOKE (PATIL)RAJEDRA ACHYUTRAO,M,31,GEN
GAIKWAD RAVINDRA VISHWANATH,M,54,GEN
DHALE PADMASHEEL RAMCHANDRA,M,37,SC
PATIL PADMASINHA BAJIRAO,M,73,GEN
TARKASE PUSHPA MURLIDHAR,F,62,GEN
BHOSALE REVAN VISHWANATH,M,49,GEN
ROKDE MILIND SOMNATH,M,42,SC
DR. RAMESH SUBRAV BANSODE,M,36,SC
SHINDE RAJENDRA BHAIRAVNATH,M,32,SC
VIKRAM ASHOK SAWALE,M,37,GEN
ADV. SHAILENDRA RAMESHWAR YAVALKAR,M,30,GEN
SAYYAD MOHAMD SAYYAD IBRAHIM,M,33,GEN
ALTAF HUSAIN YENEGURE,M,31,GEN
SMT. JADHAV UJVALA EKNATH,F,37,GEN
KAKASAHEB BABURAO RATHOD,M,27,GEN
GAIKWAD UMAJI PANDURANG,M,45,SC
GAIKWAD RAVINDRA VISHWANATH,M,48,GEN
TUKARAM DASRAO GANGAWANE,M,63,SC
TUPSUNDARE BALAJI BAPURAO,M,41,SC
NAVNATH DASHRATH UPLEKAR,M,65,SC
PADMSINH VIJAYSINH MUNDHE,M,34,GEN
SIDDIK IBRAHIM BOUDIWALI,M,34,GEN
PATIL MANOHAR ANANDRAO,M,53,GEN
SHAIKH MUBARAK ALIAS NANA MAINODDIN,M,31,GEN
ROHAN SUBHASH DESHMUKH,M,27,GEN
KSHIRSAGAR VIJAY MARUTI,M,32,SC
KSHIRSAGAR SHIVAJI JAGANNATH,M,51,GEN
SUSHILKUMAR VINAYAK PADULE,M,28,GEN
KAMBLE DEEPAK ARVIND,M,32,SC
BANSODE DATTATRAY GUNDERAO,M,68,SC
DR. SUNIL BALIRAM GAIKWAD,M,43,SC
DIPRATNA PRABHAKARRAO NILANGEKAR,M,39,SC
BALAJI DNYANOBA KAMBLE,M,44,SC
BHARAT MAROTI KADAM,M,32,SC
SHIVKHANDESHWAR NARAYAN DAHGE,M,56,SC
SURYAWANSI SIDHARTH TUKARAM,M,54,SC
UDARE MINAKSHI MAHADEV,F,42,SC
KAMBLE MILIND HARIBHAU,M,45,SC
GAJENDRA LIMBAJI AVGHADE,M,53,SC
JARIPATKE DNYANOBA SOPANRAO,M,55,SC
JOGDAND FAKIRA VAIJNATH,M,45,SC
PADMAKAR KONDIBA OVHAL,M,42,SC
BHARAT DAMODAR LONDHE,M,36,SC
GAJANAN PANDURANG MANE,M,47,SC
RAJKUMAR BHIMRAO CHANDANSHIVE,M,48,SC
SHINDE SUDHIR SHRIPATRAO,M,35,SC
SHARAD BANSODE,M,46,SC
SHINDE SUSHILKUMAR SAMBHAJIRAO,M,73,SC
ADV. SANJEEV SIDRAM SADAFULE,M,58,SC
LALIT BABAR,M,46,SC
WAGHMARE PUNDALIK ONKARI,M,49,SC
SONKAMBLE GAUTAM VIJAYKUMAR,M,35,SC
KEWALE CHAYA NAGNATH,F,58,SC
DATTATRAYA VITTHAL THORAT,M,53,SC
PAWAR YUVRAJ SIDRAM,M,38,SC
BHISE KRISHNA NAGNATH,M,36,SC
RAJENDRA DNYANDEO RANDIVE,M,49,SC
VIKRAM UTTAM KASABE,M,38,SC
SHINDE RAJKUMAR LAXMANRAO,M,40,SC
SIDRAM KRISHNA DHOBALE,M,48,SC
SUNITA VIJAYKUMAR UGHADE,F,28,SC
SONAWANE SHIVAJI CHANDRAKANT,M,32,SC
BANSODE KUNDAN FULCHAND,M,34,SC
MOHITE PATIL VIJAYSINH SHANKARRAO,M,69,GEN
NAVANATH BHIMRAO PATIL,M,26,GEN
SADABHAU RAMCHANDRA KHOT,M,48,GEN
ADV. SAVITA BALKRISHNA SHINDE,F,38,GEN
ADV.SUBHASH BALASAHEB PATIL (ANNA),M,65,GEN
SURESH SHAMRAO GHADGE,M,40,GEN
JAGTAP NITIN MARUTI,M,32,SC
JADHAV SUNIL GUNDA,M,32,GEN
DAGADU MANIK PAWAR,M,58,GEN
DEVKATE SOMANATH ALIAS SOMESHWAR CHANDRAKANT,M,40,GEN
NAGAMANI KISAN JAKKAN,F,50,GEN
POL SUDHIR ARJUN,M,45,SC
PRAFULL SHIVRAO KADAM,M,36,GEN
DR.PRAMOD RAMCHANDRA GAWADE,M,34,GEN
SATHI BASHIR AHMED BASHAMIYAN SHAIKH,M,47,GEN
BALIRAM SUKHDEV MORE,M,44,SC
BHAJANLAL YASHVANT NIMGAONKAR,M,59,SC
DR.BHISE INDRAKUMAR DEVRAO,M,47,GEN
MOHITE-PATIL PRATAPSINH SHANKARRAO,M,58,GEN
ROHIT RAMKRUSHNA MORE,M,31,GEN
WALKE VIKRAM VASUDEO,M,31,GEN
SHAIKH SHAHAJAN PAIGAMBAR,M,40,GEN
SUNITA MOHAN TUPSOUNDRYA,F,43,SC
PATIL PRATIK PRAKASHBAPU,M,40,GEN
BANDGAR NANASO BALASO,M,40,GEN
SANJAYKAKA PATIL,M,49,GEN
NITIN GANPATRAO SAVGAVE,M,50,GEN
ADV. K. D. SHINDE,M,60,GEN
SAMINA ABDULMAJID KHAN,F,41,GEN
SUREKHA ALIAS SURAIYYA SHAHIN SHAIKH,F,43,GEN
ASHOK DNYANU MANE(BHAU),M,40,GEN
CHOPADE SHRIPRASAD JANARDAN,M,41,GEN
TANAJIRAO JAGANNATH  JADHAV(CHINCHANIKAR),M,38,GEN
DHATTURE HAFIZBHAI HUSAIN,M,68,GEN
POURNIMA VILAS KORPALE,F,32,GEN
MADHUKAR BABURAO KAMBALE,M,45,SC
SHARMILA BABA WAKSHE,F,32,GEN
SHRIRANG BABURAO PAKHARE,M,63,GEN
SIDDHA SHIVAPPA BHOSALE,M,48,GEN
SURESH PARTH MANE (NANA),M,51,GEN
SHRIMANT CHH.  UDAYANRAJE PRATAPSINHA BHONSALE,M,48,GEN
PRASHANT VASANT CHAVAN,M,39,SC
ALTAF ABDULGANI SHIKALGAR,M,52,GEN
ASHOK WAMAN GAIKWAD,M,53,SC
CHANDRAKANT TATU KHANDAIT,M,45,SC
RAJENDRA MADHUKAR CHORAGE,M,48,GEN
UMESH MUKUND WAGHMARE,M,27,SC
KADAM SAGAR UTTAMRAO,M,27,GEN
GAWDE SUKHDEV BHANUDAS,M,60,GEN
PANDURANG RAMCHANDRA SHINDE,M,65,GEN
PURUSHOTTAM JADHAV,M,50,GEN
DR. PRAKASH SHAMRAO PAWAR,M,43,GEN
BICHUKALE ABHIJIT VAMANRAO,M,38,SC
ADV. VARSHA  MADGULKAR,F,42,GEN
DR. VIJAYSINHA  DILIPRAO PATIL,M,48,GEN
SUBHASH NIVRUTTI SHILEWANT,M,49,SC
SUHAS VISHWASRAO DESHMUKH,M,31,GEN
SANDIP AMRUTRAO MOZAR,M,36,GEN
AYARE RAJENDRA LAHU,M,51,GEN
NILESH NARAYAN RANE,M,33,GEN
VINAYAK BHAURAO RAUT,M,60,GEN
ABHIJIT SHRIRAM HEGSHETYE,M,56,GEN
ADV. DIPAK DATTARAM NEVGI,M,54,GEN
BIRJE YASHWANT ANANT,M,71,GEN
VINOD HANUMANTRAO SAWANT,M,57,GEN
AJINKYA DHONDU GAWADE,M,48,GEN
ARUN HARISHCHANDRA MANJREKAR,M,59,GEN
SUNIL ALIAS YASHWANT VASANT PEDNEKAR,M,47,GEN
KURANE AJAY PRAKASH,M,39,SC
DHANANJAY BHIMRAO MAHADIK,M,42,GEN
SANJAY SADASHIV MANDALIK,M,49,GEN
DR. JADHAV DAYANAND VASANT,M,34,GEN
ATUL PRASANNAKUMAR DIGHE,M,55,GEN
NARAYAN GUNDU POWAR,M,41,GEN
MHAMANE ANIL SUBHASH,M,34,GEN
SAMPATRAO SHAMRAO PAWAR PATIL,M,67,GEN
KAMBLE SUKUMAR DATTU,M,53,SC
PANDURANG TUKARAM CHOUGALE,M,67,GEN
JEEVAN ALIAS C.A.PATIL,M,43,GEN
YASHWANT BALKRUSHNA JOSHI,M,59,GEN
PATIL BAJRANG KRISHNA,M,44,GEN
SHEREGAR CHETAN VENKATESH,M,34,GEN
SANDEEP GUNDOPANT SANKPAL,M,32,GEN
AWADE KALLAPPA BABURAO,M,82,GEN
KAMBLE CHANDRAKANT TUKARAM,M,39,SC
DIGAMBAR ALIAS GABBAR SUDAM SAKAT,M,34,SC
YUVRAJ SHIVAJI KAMBLE,M,31,SC
RAGHUNATHDADA PATIL,M,63,GEN
RAJU SHETTY,M,46,GEN
SHAIKH SHABBIR NABI,M,40,GEN
THORAT ANANDRAO TUKARAM,M,51,GEN
PATIL S R TATYA,M,78,GEN
MANE ARVIND BHIVA,M,48,SC
SURESHDADA PATIL,M,48,GEN
SUSHANT SANTOSH DIGE,M,31,GEN
DR. THOKCHOM MEINYA,M,69,GEN
MOIRANGTHEM NARA,M,63,GEN
R.K. RANJAN SINGH,M,62,GEN
SARANGTHEM MANAOBI,M,58,GEN
DR. IBOMCHA SINGH,M,43,GEN
OINAM JOTIN SINGH,M,37,GEN
DR. GURUMAYUM TONSANA SHARMA,M,64,GEN
INDIRA OINAM,F,39,GEN
KIM GANGTE,F,51,ST
GANGMUMEI KAMEI,M,73,ST
CHUNGKHOKAI DOUNGEL,M,76,ST
THANGSO BAITE,M,61,ST
SOSO LORHO,M,72,ST
M. KHAMCHINPAU @ K. ZOU,M,50,ST
LAMMINLIEN @ LIEN GANGTE,M,43,ST
AMARSON SANKHIL,M,46,ST
MANI CHARENAMEI,M,55,ST
LAMLALMOI @ MOMOI GANGTE,M,38,ST
PAUL LYNGDOH,M,41,ST
RICHARD D. SHABONG,M,63,ST
SHIBUN LYNGDOH,M,45,ST
VINCENT H. PALA,M,46,ST
ARMERINGTON KHARSHIING,M,62,ST
DENIS SIANGSHAI,M,49,ST
IVORYNA SHYLLA,F,65,ST
PRECHARD B. M. BASAIAWMOIT,M,63,ST
DARYL WILLIAM CH MOMIN,M,27,ST
PURNO AGITOK SANGMA,M,66,ST
C. L. RUALA,M,78,ST
M.LALMANZUALA,M,72,ST
ROBERT ROMAWIA ROYTE,M,47,ST
NEIPHIU RIO,M,63,ST
K. V. PUSA,M,59,ST
AKHEI ACHUMI,M,73,ST
ASHUTOSH,M,48,GEN
KAPIL SIBAL,M,65,GEN
NARENDRA KUMAR PANDEY,M,48,GEN
DR. HARSH VARDHAN,M,59,GEN
AJAY KUMAR KHEMKA,M,41,GEN
MD. AFAQ,M,49,GEN
ALTAF HUSAIN,M,40,GEN
JAGJEET SINGH ,M,32,GEN
JAGMOHAN SINGH BAKSHI,M,54,GEN
 DR. TARUN KUMAR,M,39,GEN
TARIQ MIRZA,M,29,GEN
DHAN RAJ CHAUHAN,M,53,SC
MOHD. MURSALEEN,M,39,GEN
MUSARRAT JAHAN,F,49,GEN
RASHMI KASHYAP,F,55,GEN
SANJAY GANDHI,M,53,GEN
HARIOM SHARMA,M,49,GEN
 ABDUL AMIR AMIRO,M,44,GEN
ASHUTOSH,M,38,GEN
GAGAN RASTOGI,M,30,GEN
DILDAR HUSSAIN BEG,M,44,GEN
BALRAM BARI,M,47,GEN
BIR SINGH SONI,M,46,SC
VIJAY SHANKER CHAUBEY,M,42,GEN
SURENDER SINGH,M,42,GEN
ABDUL SAMI SALMANI,M,58,GEN
ANAND KUMAR,M,64,GEN
JAI PARKASH AGARWAL,M,69,GEN
MANOJ TIWARI,M,43,GEN
A.K. AGGARWAL,M,47,GEN
OM DUTT SHARMA,M,49,GEN
DHARAMVEER SINGH,M,50,SC
PROF. NARENDERA SHARMA,M,68,GEN
PRADESH KUMAR,M,31,GEN
MOHD. ARIF SIDDIQUE,M,26,GEN
RAMESH SINGH SIRAL,M,40,GEN
RAJAN LAL,M,36,SC
ROSHAN ALI,M,56,GEN
VINAY,M,29,GEN
MOHD. HASNAN KHAN,M,33,GEN
AMIT KUMAR SHARMA,M,38,GEN
ALI HUSAN,M,40,GEN
DAN BAHADUR YADAV,M,50,GEN
DINESH PAL SINGH,M,35,GEN
H.K. MAHENDRU,M,78,GEN
MUKESH KUMAR ARORA,M,40,GEN
MOHD. HASNAIN,M,55,GEN
HARSH KUMAR,M,38,SC
MAHEISH GIRRI,M,39,GEN
MOHAMMAD SHAKEEL SAIFI,M,42,GEN
RAJMOHAN GANDHI,M,78,GEN
SANDEEP DIKSHIT,M,49,GEN
ARUN THAKUR,M,39,GEN
OMPAL SINGH,M,44,GEN
JAI RAM LAL,M,49,GEN
DR. NABHIT KAPUR,M,26,GEN
MOHD NASEER,M,39,GEN
PRAVEEN KUMAR,M,33,SC
PREM SINGH,M,57,GEN
MANJU CHHIBBER,F,58,GEN
RAJESH,M,45,GEN
RAM BRIKSH MALL,M,58,GEN
VIRENDRA MAYER,M,60,GEN
SHAKEEL AHMED,M,32,GEN
MOHD SHAHID SIDDIQUI,M,51,GEN
KUMAR VIVEK GAUTAM,M,32,SC
JAGANNATH TIWARI,M,39,GEN
DEEPAK KUMAR,M,31,GEN
PADAM CHAND,M,61,GEN
MOHAMMED NAEEM,M,37,GEN
MANJEET SINGH,M,26,SC
AJAY MAKAN,M,50,GEN
ASHISH KHETAN,M,38,GEN
MEENAKASHI LEKHI,F,46,GEN
SOLOMON GEORGE,M,50,GEN
DEVI SINGH,M,33,GEN
DHEERAJ PURI,M,35,GEN
NAVEEN CHANDRA,M,40,GEN
PRADEEP VARMA,M,49,GEN
BISWAJIT RANJIT CHATTERJEE,M,77,GEN
MEENA SINGLA,F,44,GEN
RAMANUJ PATEL,M,36,GEN
LAKSHMI NARAYAN,M,46,SC
SWADESH OHRI,M,72,GEN
SUJEET JHA,M,30,GEN
SUNITA CHAUDHARY,F,37,GEN
ANJUMAN AGNIHOTRI,M,53,GEN
GHANSHYAM DASS,M,57,SC
DAL CHAND,M,52,SC
NARENDRA SINGH RAWAT,M,43,GEN
NIKHIL SABLANIA,M,34,SC
PADMAJA KANDUKURI,F,50,GEN
RATHEESH,M,26,GEN
RAVI KUMAR GUPTA,M,66,GEN
RUBINA KHAN,F,26,GEN
LUKMAN KHAN,M,52,GEN
VISHAL KHOSLA,M,51,GEN
VED PRAKASH,M,56,SC
K P SANKARAN MENON,M,68,GEN
HARKRISHAN DAS NIJHAWAN,M,50,GEN
UDIT RAJ,M,56,SC
KRISHNA TIRATH,F,58,SC
BASANT PANWAR,M,46,SC
RAKHI BIRLA,F,27,SC
INDER SINGH SANSI,M,51,SC
DHARAMRAJ,M,40,SC
RAJESH KUMAR,M,41,GEN
VIJAY KUMAR,M,39,GEN
KAMINI KAUR,F,49,SC
JODHRAJ PAHARIA,M,65,SC
BHUP SINGH,M,77,SC
RAM KARAN SAURAN,M,60,SC
SHAILENDER KUMAR,M,34,SC
SUNIL CHHIKARA,M,42,SC
JARNAIL SINGH,M,41,GEN
PARVESH SAHIB SINGH VERMA,M,36,GEN
MAHABAL MISHRA,M,61,GEN
RAJ PAL SINGH,M,51,GEN
UDAY KUMAR SINGH KUSHWAHA,M,31,GEN
KARAM CHAND LATHWAL,M,48,GEN
CHARAN JEET SINGH KHALSA,M,46,GEN
DINESH KUMAR KUSHWAHA,M,34,GEN
DEEPAK KUMAR,M,30,GEN
RAKESH KUMAR,M,31,GEN
HAR GOBIND ARORA,M,42,GEN
ISTAK KHAN,M,38,GEN
JARNAIL SINGH,M,59,GEN
JARNAIL SINGH,M,44,GEN
BABU SINGH DUKHIYA,M,57,SC
VIRENDER MOHAN VATS,M,56,GEN
SUNIL SOURABH,M,45,GEN
COL DEVINDER SEHRAWAT,M,48,GEN
RAMESH KUMAR,M,58,GEN
RAMESH BIDHURI,M,52,GEN
SHRICHAND TANWAR,M,68,GEN
SANJAY KUMAR RAI,M,47,GEN
CHO. OMBIR SINGH NAUGHWAR,M,51,GEN
MOHAN KANUGA,M,66,GEN
SREERUPA MITRA CHAUDHURY,F,49,GEN
HAFIZ MUSTAQ,M,53,GEN
KIRAN PAL SINGH,M,63,GEN
D. K. CHOPRA,M,60,GEN
TEJ PAL SINGH,M,38,SC
DR. DUSMANTA KUMAR GIRI,M,54,GEN
NARESH KUMAR CHANDALIYA,M,50,SC
RAKESH KUMAR,M,42,GEN
RUBY YADAV,F,33,GEN
SHAHID,M,38,GEN
SUNIL KUMAR,M,38,GEN
SUMANT KUMAR,M,51,GEN
R.K.R. ANANTHARAMAN,M,41,GEN
R. RADHAKRISHNAN,M,42,GEN
M.V. OMALINGAM,M,42,GEN
S. KRISHNAMOORTHY,M,48,SC
V. NARAYANASAMY,M,66,GEN
A.M.H. NAZEEM,M,52,GEN
R. VISWANATHAN,M,64,GEN
S. CHITRAKALA,F,37,GEN
G. PALANI,M,59,GEN
MARIE UTHRIANATHAN,M,32,GEN
DR. V. RANGARAJAN,M,59,GEN
P. ASARAVEL,M,41,SC
K. RAMADASS,M,49,SC
PROFESSOR M. RAMADASS,M,64,GEN
RAMAMURTHI,M,53,GEN
S. EZHILARASAN,M,41,SC
KALIAYAMURTHY,M,44,SC
SANJIVGANTHI .S,M,30,SC
G. SHANMUGAM,M,50,GEN
M. CHITTIBABU,M,37,GEN
S. SUDARSANAN,M,37,GEN
G. SUTHA,F,30,SC
I. SENTHIL KUMAR,M,31,GEN
J. DHANDAPANI,M,61,GEN
